Product_id,Advert_id,Price,City_Name,Zone,City_code,Zone_code,Square_meters,Bed_rooms,Toilets,advert_url,today's_date
 124,41541000000124,160900,barcelona,taxonera, 1930008, 706,58,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_taxonera-barcelona-i41541000000124.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:38.701205
 4350586,684004350586,420000,barcelona,sant_gervasi___bonanova, 1930008, 504,80,3,1,https://www.habitaclia.com/comprar-piso-reformado_y_luminoso_6a_planta_sant_gervasi_bonanova-barcelona-i684004350586.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:40.257059
 4332044,4975004332044,435000,barcelona,sagrada_familia, 1930008, 202,95,3,2,https://www.habitaclia.com/comprar-apartamento-piso_de_3_dormitorios_con_6m2_terraza_con_vistas_a_la_sagrada_fa_sagrada_familia-barcelona-i4975004332044.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:42.114342
 3082798,1859003082798,187000,barcelona,prosperitat, 1930008, 808,71,3,1,https://www.habitaclia.com/comprar-piso-prosperitat_prosperitat-barcelona-i1859003082798.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:43.728623
 4300768,2257004300768,530000,barcelona,hostafrancs, 1930008, 306,113,2,2,https://www.habitaclia.com/comprar-atico-de_obra_nueva_con_terraza_hostafrancs-barcelona-i2257004300768.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:45.249262
 3834548,9861003834548,159000,barcelona,raval, 1930008, 101,62,2,1,https://www.habitaclia.com/comprar-piso-coqueto_en_el_raval_raval-barcelona-i9861003834548.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:46.723068
 3858000,29735003858000,427250,barcelona,putget___farro, 1930008, 506,NA,1,1,https://www.habitaclia.com/comprar-apartamento-obra_nueva_putget_farro-barcelona-i29735003858000.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:48.265458
 4402463,4827004402463,459000,barcelona,badal, 1930008, 308,139,4,2,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_calefaccion_badal-barcelona-i4827004402463.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:50.031327
 4315996,19086004315996,1050000,barcelona,sant_gervasi___galvany, 1930008, 505,154,5,3,https://www.habitaclia.com/comprar-piso-fantastica_vivienda_toda_exterior_con_vistas_al_turo_park_sant_gervasi_galvany-barcelona-i19086004315996.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:51.643651
 4387551,24038004387551,260700,barcelona,camp_de_l_arpa, 1930008, 1001,75,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_camp_de_l_arpa-barcelona-i24038004387551.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:53.354895
